n,max_levels,k, cpu_ms, cublas_kernel_ms, cublas_total_ms, gpu_kernel_ms, gpu_total_ms, ops_cublas, ops_gpu, gflops_cublas, gflops_gpu, relerr_cublas, relerr_custom
256,4,12,0.062266,0.037888,30.882950,0.098808,1.187323,131072,57344,3.542005,0.582330,0.000000299,0.000000307
256,4,14,0.060730,0.035968,29.812088,0.100728,1.202818,131072,65536,3.679366,0.653477,0.000000306,0.000000325
256,4,16,0.064394,0.034816,31.224312,0.096380,1.143167,131072,73728,3.786859,0.769243,0.000000278,0.000000296
256,4,18,0.062679,0.035072,30.366988,0.101124,1.219200,131072,81920,3.766804,0.815756,0.000000276,0.000000294
256,6,6,0.064397,0.036608,32.155513,0.137228,3.116545,131072,38912,3.611512,0.284852,0.000000320,0.000000327
256,6,8,0.064363,0.036608,31.746825,0.121860,1.923840,131072,45056,3.618208,0.374689,0.000000318,0.000000336
256,6,10,0.059945,0.037248,31.275400,0.118396,1.910785,131072,55296,3.544151,0.468946,0.000000321,0.000000336
256,6,12,0.059947,0.036864,30.301188,0.120960,1.896830,131072,65536,3.588388,0.544941,0.000000312,0.000000324
256,6,14,0.061411,0.034816,29.873912,0.118016,1.934719,131072,75776,3.804232,0.645004,0.000000288,0.000000298
256,6,16,0.066591,0.038024,32.487800,0.097540,1.131771,131072,73728,3.495579,0.758745,0.000000293,0.000000312
256,6,18,0.060633,0.034560,29.996800,0.101760,1.220605,131072,81920,3.815426,0.808771,0.000000306,0.000000319
256,8,6,0.059889,0.034816,31.003025,0.136580,3.155969,131072,38912,3.786859,0.286756,0.000000298,0.000000319
256,8,8,0.057726,0.035196,30.033800,0.114944,1.812865,131072,45056,3.769360,0.393663,0.000000305,0.000000321
256,8,10,0.064350,0.038912,33.201275,0.125824,2.013692,131072,55296,3.403720,0.442479,0.000000316,0.000000330
256,8,12,0.059969,0.035968,29.795063,0.122488,1.874942,131072,65536,3.660740,0.538084,0.000000289,0.000000318
256,8,14,0.066100,0.036096,31.311225,0.119556,1.998463,131072,75776,3.679071,0.639111,0.000000308,0.000000327
256,8,16,0.064370,0.038656,32.197525,0.103808,1.194750,131072,73728,3.462319,0.715729,0.000000312,0.000000332
256,8,18,0.060863,0.036480,31.943938,0.105344,1.275392,131072,81920,3.630904,0.782749,0.000000300,0.000000314
256,10,6,0.062119,0.037380,32.042625,0.140016,3.039616,131072,38912,3.576386,0.279730,0.000000313,0.000000317
256,10,8,0.062129,0.036608,31.367425,0.120828,1.893760,131072,45056,3.616503,0.374385,0.000000318,0.000000329
256,10,10,0.062190,0.036480,30.885738,0.120964,1.978364,131072,55296,3.637776,0.463685,0.000000309,0.000000309
256,10,12,0.062221,0.038912,32.630650,0.125440,1.980932,131072,65536,3.428393,0.532027,0.000000327,0.000000342
256,10,14,0.057708,0.034564,28.815738,0.116096,1.922559,131072,75776,3.796824,0.655671,0.000000289,0.000000300
256,10,16,0.060383,0.036996,30.993550,0.102656,1.166329,131072,73728,3.587137,0.725014,0.000000303,0.000000320
256,10,18,0.062763,0.036608,30.913937,0.104064,1.272447,131072,81920,3.607004,0.791619,0.000000292,0.000000326
256,12,6,0.055504,0.033152,28.797050,0.133504,3.024511,131072,38912,3.963420,0.292970,0.000000290,0.000000292
256,12,8,0.057755,0.035588,30.403437,0.116872,1.848446,131072,45056,3.707242,0.387717,0.000000309,0.000000312
256,12,10,0.062124,0.033408,30.552688,0.113280,1.820162,131072,55296,3.929686,0.488793,0.000000325,0.000000327
256,12,12,0.057798,0.035840,29.804913,0.113796,1.807104,131072,65536,3.696541,0.577469,0.000000313,0.000000322
256,12,14,0.057708,0.033664,29.267725,0.114692,1.866494,131072,75776,3.898570,0.662329,0.000000304,0.000000319
256,12,16,0.055502,0.033920,28.993275,0.095108,1.089538,131072,73728,3.871678,0.776415,0.000000300,0.000000315
256,12,18,0.063109,0.038784,31.263488,0.103808,1.252860,131072,81920,3.445200,0.793142,0.000000305,0.000000324
512,2,6,0.270732,0.039296,32.236800,0.065152,0.591744,524288,155648,13.486662,2.413675,0.000000415,0.000000416
512,2,8,0.249506,0.035832,29.926275,0.061312,0.553856,524288,163840,14.646750,2.680235,0.000000441,0.000000446
512,2,10,0.258935,0.036860,31.014913,0.060672,0.584196,524288,172032,14.339475,2.855868,0.000000416,0.000000427
512,2,12,0.261766,0.035968,30.769537,0.059904,0.593152,524288,180224,14.674925,3.026029,0.000000415,0.000000425
512,2,14,0.249515,0.036224,30.114175,0.063100,0.587008,524288,188416,14.615025,3.007334,0.000000404,0.000000413
512,2,16,0.274192,0.035968,31.390837,0.064128,0.611972,524288,196608,14.677625,3.121065,0.000000378,0.000000397
512,2,18,0.252043,0.036864,30.453125,0.061312,0.605436,524288,204800,14.369950,3.351303,0.000000403,0.000000420
512,4,6,0.307374,0.039808,34.605038,0.113152,1.312256,524288,81920,13.257050,0.731481,0.000000459,0.000000461
512,4,8,0.269424,0.036736,31.458037,0.099332,1.147140,524288,98304,14.450437,1.002518,0.000000416,0.000000426
512,4,10,0.277251,0.038528,32.623888,0.099588,1.220224,524288,114688,13.816900,1.155947,0.000000409,0.000000421
512,4,12,0.279687,0.037248,31.315188,0.103412,1.175298,524288,131072,14.241288,1.284721,0.000000410,0.000000420
