n,max_levels,k, cpu_ms, cublas_kernel_ms, cublas_total_ms, gpu_kernel_ms, gpu_total_ms, ops_cublas, ops_gpu, gflops_cublas, gflops_gpu, relerr_cublas, relerr_custom
256,2,12,0.062372,12.911350,31.117438,3.898366,4.411870,131072,57344,0.010291,0.014888,0.000000307,0.000000314
256,2,14,0.064641,13.079287,32.282762,3.889928,4.405329,131072,61440,0.010173,0.015942,0.000000312,0.000000317
256,2,16,0.061628,12.470012,30.016762,3.864189,4.388755,131072,65536,0.010653,0.017233,0.000000297,0.000000317
256,2,18,0.062365,12.629100,30.897025,3.897092,4.429336,131072,69632,0.010501,0.018100,0.000000325,0.000000335
256,4,6,0.060141,12.969600,31.058163,3.938304,5.105753,131072,32768,0.010270,0.008425,0.000000299,0.000000317
256,4,8,0.061052,12.484225,30.220925,3.824379,4.897791,131072,40960,0.010632,0.010788,0.000000289,0.000000298
256,4,10,0.060281,12.222475,29.920388,3.717643,4.860996,131072,49152,0.010797,0.013243,0.000000297,0.000000300
256,4,12,0.057747,12.394750,29.869700,3.734148,4.882485,131072,57344,0.010672,0.015471,0.000000291,0.000000298
256,4,14,0.057744,12.070150,29.577100,3.698937,4.837720,131072,65536,0.010937,0.017732,0.000000309,0.000000327
256,4,16,0.055512,11.995138,29.116937,3.651846,4.726551,131072,73728,0.010946,0.020207,0.000000303,0.000000317
256,4,18,0.058643,11.696625,28.116637,3.634559,4.798732,131072,81920,0.011210,0.022548,0.000000299,0.000000318
256,6,6,0.062174,13.072138,31.538312,4.122612,7.647004,131072,38912,0.010179,0.009570,0.000000309,0.000000319
256,6,8,0.057706,12.233588,29.602162,3.877747,5.706660,131072,45056,0.010791,0.011688,0.000000279,0.000000291
256,6,10,0.059950,12.577025,30.432875,3.892609,5.825940,131072,55296,0.010549,0.014333,0.000000284,0.000000299
256,6,12,0.059962,12.083438,30.063488,3.744644,5.618771,131072,65536,0.010867,0.017509,0.000000308,0.000000322
256,6,14,0.059931,12.255088,29.939600,3.852284,5.744804,131072,75776,0.010780,0.019821,0.000000322,0.000000335
256,6,16,0.059941,11.815050,29.132538,3.720827,4.795236,131072,73728,0.011100,0.019819,0.000000284,0.000000306
256,6,18,0.060721,12.690938,30.786450,3.992320,5.239231,131072,81920,0.010452,0.020809,0.000000282,0.000000301
256,8,6,0.057708,12.443925,29.787500,3.864952,7.152418,131072,38912,0.010658,0.010133,0.000000294,0.000000300
256,8,8,0.062126,12.953700,31.428100,4.072065,6.005151,131072,45056,0.010290,0.011221,0.000000287,0.000000306
256,8,10,0.057744,12.151175,28.975487,3.835012,5.744689,131072,55296,0.010898,0.014531,0.000000283,0.000000304
256,8,12,0.064334,12.399750,31.300725,3.934060,5.877112,131072,65536,0.010648,0.016790,0.000000300,0.000000311
256,8,14,0.061473,12.669562,30.901488,3.851012,5.793378,131072,75776,0.010475,0.019813,0.000000317,0.000000324
256,8,16,0.053300,11.625587,27.836137,3.591805,4.663761,131072,73728,0.011275,0.020543,0.000000286,0.000000300
256,8,18,0.058600,12.473475,29.897725,3.791995,5.001444,131072,81920,0.010643,0.021814,0.000000314,0.000000330
256,10,6,0.062136,12.257912,30.504200,3.892860,7.175732,131072,38912,0.010799,0.010062,0.000000304,0.000000305
256,10,8,0.055499,11.935500,28.924150,3.726583,5.509080,131072,45056,0.011010,0.012101,0.000000288,0.000000301
256,10,10,0.055515,12.190450,29.154688,3.902220,5.846365,131072,55296,0.010830,0.014294,0.000000321,0.000000333
